Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,1,0,0.05660377358490565,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,0
1,6,1,11,1,1,1,1,3,4,4,1,0,0,0,1,0,0.037735849056603765,0,0,6,6,6,0.7417218543046358,0,0,6,6,6,0.7358974358974358,0,0.7325581395348838,0.11111111111111112,0.6406869220607662,2
1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,1,0,0.037735849056603765,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,0
1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,0,0.05660377358490565,0,0,6,8,6,0.7114474929044465,0,0,6,10,5,0.6676923076923077,0,0.2093023255813954,0.0,0.12417437252311753,2
2,12,1,3,0,1,1,22,28,10,10,0,0,0,1,0,0,0.5283018867924527,0,0,6,9,5,0.6534216335540839,0,0,6,6,6,0.7,0,0.7325581395348838,0.11111111111111112,0.6406869220607662,2
2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,1,0,0.6226415094339623,0,0,5,10,5,0.6281929990539262,0,0,5,17,5,0.6192307692307691,5,0.9999999999999999,0.24444444444444446,0.4147952443857331,2
1,1,1,12,1,1,1,13,28,8,11,1,0,0,1,0,1,0.018867924528301883,0,0,7,9,7,0.704635761589404,0,0,8,8,8,0.7724230769230769,0,0.9186046511627907,0.7999999999999999,0.0,2
1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,1,0,0.09433962264150941,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,0.9186046511627907,0.7999999999999999,0.0,0
1,1,3,10,1,1,15,1,1,10,10,0,0,0,1,0,1,0.07547169811320753,1,0,6,8,6,0.7350993377483444,0,0,6,7,6,0.7615384615384615,0,0.9999999999999999,0.24444444444444446,0.4147952443857331,2
1,1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,0,0.018867924528301883,0,0,6,9,5,0.6039735099337749,0,0,6,14,2,0.7269230769230769,0,0.15116279069767458,0.4888888888888888,1.0,0
